question,answer,image_id
what is the colour of green liquid bottle cap,white,image786
what is the object found in front of the door,floor_mat,image809
how many towels hanged,2,image733
what is right of hanger,shelves,image520
what is the object close to the wall right of the screen,window,image1075
what object is found on the sofa,clothes,image957
what is on the right side of the side table and below the colorful painting,sofa,image50
what is above the tap,blinds,image765
what is behind the tissue box,papers,image376
what is the colour of pillar,brown,image228
what is on the sofa,pillow,image546
what color is the shade of the table lamp close to the bookshelf,white,image181
what is the object below the counter,cabinet,image819
what is on the right side of the chair,table,image385
what is on the right side,bed,image1106
what is on the right side of the sofa,stool,image1202
what is behind the ornamental plant,oven,image789
how many blinds are there,3,image1356
what is to the left side of the basin,bottle_of_hand_wash_liquid,image775
how many black cameras are hanging next to the wall,3,image6
what is in front of the sofa,stool,image1303
what is the main color of the tablecloth,yellow,image772
what is in the left rack of the table,dvd,image946
what is in front of the bottle,fish_tank,image319
what is the object on the floor in front of the wall,cabinet,image923
how many spray bottles is there,1,image787
what is to the opposite of the table,mantel,image1379
what is the largest object,refridgerator,image559
what is present on the left side,storage_rack,image1035
what is in front of the sofa,table,image1339
what is to the left of the sofa,stand,image464
what are stuck on the wall,photo,image1082
what is on the floor,floor_mat,image1237
what is the biggest object on the table,lamp,image379
what is the object close to the wall above the sink,mirror,image670
what is behind the curtain,bathtub,image667
what is above the bed,picture,image516
what is the colour of wall,white,image254
how many chairs found near the computer table,2,image828
what is on the left side of the newspaper,tissue,image822
what is the object in the middle shelf,monitor,image477
how many black armchairs are there next to the brown table and in front of the white wall,1,image21
what are the objects in the cabinet found on the wall,"toy, photo, toy_house, toy_horse",image1247
what is the object close to the counter,sink,image576
what is the object left of the screen,window,image911
how many ceiling lights are there,1,image796
what is colour of wall,white,image262
what are the things on the table,"vase, bag",image1384
what is the colour of the sofa,black,image386
what color is the side table on the left side of the sofa,brown,image488
what is the colour of the light,white,image880
what is the object in front of the window on the right side,sofa,image1249
what is the object on the floor behind the rack,room_divider,image1220
what is on the right side of the tap,ornamental_plant,image818
what is the largest object,bookshelf,image67
what is to the left of window,jacket,image61
what is hanging on the wall between the spice rack and the cabinet,kichen_towel,image133
what is the colour of window,white,image282
how many pillows are there on the gray armchair,1,image173
what is on the left side of the table,sofa,image639
how many lamps are there,2,image996
what the largest light green object in this picture,sofa,image14
